ID,Quotation Content
5:7,Nao_identificado
9:5,Mestre
14:5,Doutorando/a
18:4,Mestre
21:7,Graduado/a
21:8,Graduado/a
23:6,Mestrando/a
24:7,Mestrando/a
24:8,Doutor/a
24:9,Doutorando/a
26:4,Mestre
27:5,Doutorando/a
32:5,Mestre
33:5,Mestrando/a
34:7,Mestre
35:5,Doutorando/a
39:5,Mestrando/a
40:5,Doutorando/a
42:5,Mestre
45:4,Doutorando/a
46:5,Doutorando/a
49:5,Doutor/a
54:4,Doutorando/a
57:5,Doutorando/a
60:5,Mestrando/a
61:5,Mestre
64:4,Doutorando/a
68:5,Doutor/a
69:5,Mestrando/a
70:5,Mestrando/a
74:4,Mestrando/a
75:5,Mestrando/a
76:5,Doutorando/a
77:5,Mestrando/a
78:5,Mestrando/a
81:5,Mestrando/a
83:5,Especialista
84:5,Graduado/a
85:5,Doutorando/a
87:5,Doutor/a
91:5,Pós-Doutorando/a
99:6,Doutorando/a
102:5,Doutorando/a
103:5,Mestre
106:5,Doutor/a
108:7,Nao_identificado
108:9,Doutor/a
108:11:00,Doutor/a
109:5,Doutor/a
110:6,Doutorando/a
112:4,Graduando/a
115:5,Doutor/a
116:5,Graduado/a
118:5,Doutor/a
119:5,Mestre
120:5,Doutor/a
121:5,Doutorando/a
122:4,Doutorando/a
123:5,Mestrando/a
124:5,Mestre
125:5,Doutor/a
126:6,Doutorando/a
127:5,Mestrando/a
129:5,Mestrando/a
135:5,Mestrando/a
137:4,Mestre
142:5,Doutor/a
145:5,Mestrando/a
151:4,Doutorando/a
152:5,Doutorando/a
153:4,Mestre
156:5,Doutorando/a
159:5,Doutorando/a
161:8,Mestre
162:4,Doutor/a
163:5,Doutorando/a
165:5,Mestrando/a
166:5,Mestrando/a
169:4,Mestrando/a
172:4,Doutorando/a
173:5,Mestrando/a
174:4,Pós-Doutorando/a
179:4,Doutorando/a
180:5,Mestrando/a
184:6,Doutorando/a
184:8,Doutorando/a
5:7,Nao_identificado
9:5,Mestre
14:5,Doutorando/a
18:4,Mestre
21:7,Graduado/a
21:8,Graduado/a
23:6,Mestrando/a
24:7,Mestrando/a
