ID,Quotation Content
1:6,UFF
3:6,USP
6:5,UNEB
7:6,UFRJ
8:6,UNIRIO
10:5,UFRGS
11:6,UFBA
12:6,USP
13:7,UFPB
15:7,UFF
16:6,UNIFESP
17:6,UEFS
19:6,UFRRJ
20:6,UNICAM
22:7,UFF
25:6,UFF
31:6,UFRJ
37:6,UFS
41:6,UFRRJ
43:6,UERJ
44:7,Nao_identificado
48:6,UFAM
52:5,UNIRIO
56:6,UNIVAP
58:8,UNEMAT
59:6,UFF
62:7,UERJ
63:6,UFRRJ
66:6,UNIFESP
67:7,UFF
79:6,PUC/RIO
80:6,UNICAMP
82:5,UFRGS
86:5,UNIFESP
88:6,UNISANTOS
94:6,UFPB
95:5,UNISINOS
97:6,UFBA
100:6,UFF
101:5,UFRRJ
104:6,UFSCAR
105:6,UFS
107:5,UFRRJ
111:6,UFSC
113:6,UNESP
114:7,UNICAMP
130:14:00,UFSC
131:6,UNEB
132:6,UFRGS
133:6,UFRGS
134:6,UFSC
139:6,UFS
140:6,UDESC
143:6,UFSJ
148:22:00,UFF
149:5,IFBA
154:6,UNICAMP
155:6,UESC
157:7,UFF
160:4,UFF
160:5,UFF
170:6,UEMG
171:5,UFF
177:6,UFRJ
181:4,UNEB
