ID,Quotation Content
5:8,UFERSA
9:6,UNEB
14:6,USP
18:5,UFSC
23:7,UERJ
26:5,UFBA
27:6,UNIRIO
32:6,UFPR
33:6,UERJ
34:8,UNEB
35:6,UFRRJ
36:5,UFRJ
36:6,UFRJ
39:6,UNIRIO
40:6,UFF
42:6,UFF
45:5,UFFRJ
46:6,UFJF
47:5,UFF
49:6,PUC/RIO
53:6,UNICAMP
54:5,PUC/RIO
57:6,UNICAMP
60:6,UFPE
61:6,UNEB
64:5,UFF
65:6,UFPE
68:6,UFMS
69:6,UFF
70:6,UFSC
71:6,UFRRJ
72:5,UFBA
73:5,UNEB
74:6,UFBPR
75:6,UFRJ
76:6,UFES
77:6,UNILAB
78:6,UFPE
81:6,UEM
83:8,UNEB
84:6,UFPE
85:6,UFPA
87:6,UFJF
91:6,UNISINOS
99:7,USP
102:6,UFF
103:6,UFBA
106:6,UFSC
108:8,UNITAU
108:10:00,UNITAU
108:12:00,UNITAU
109:6,IFPE
110:7,IFBA
112:5,UDESC
115:6,NYU
116:6,UNEAL
118:10:00,UFRJ
119:6,UFRPE
120:6,UFRGS
121:6,UFJF
122:5,UFGD
123:6,UECE
124:6,UFPE
125:4,UFAC
126:7,UNESP
127:6,UFPEL
128:5,UFJF
129:6,USS
135:6,USP
137:5,UNIRIO
141:5,UFMT
142:6,PUC/RIO
145:6,UEPG
146:5,UERJ
150:5,IFAL
151:5,UFPE
152:6,UFRJ
153:5,UDESC
156:6,UFRPE
159:6,UFRRJ
161:5,UNEB
162:5,UFRPE
163:6,UFF
164:5,UEL
165:6,PUC/SP
166:6,UFRRJ
167:5,USP
169:5,UFAM
172:5,PUC/SP
173:6,PUC/SP
174:5,UFRGS
179:5,UFGD
180:6,UFSJ
184:7,UFPR
184:9,UFPR
