ID,Quotation Content
1:5,Doutoranda
3:5,Doutorando em História Social
6:6,Programa de Pós-Graduação em História Regional e Local
7:11,Mestranda em História Comparada
8:5,Doutoranda em Museologia e Patrimônio
11:5,Doutoranda
12:5,Mestrando em História Social
13:6,Mestranda em História
15:6,Doutor em História
16:5,Mestrado
17:5,Licenciada em História
19:5,Doutoranda
20:5,Doutora
22:6,Doutoranda
28:5,Doutoranda no PPGHIS – UFJF
31:5,Pós-Doutoranda em História
37:5,Mestranda em História social
41:5,Doutoranda em História
43:5,Doutorando
44:7,1 DH/PPGH/NEABI-UFPB  2 DH/PROHIS/UFS  3 DH/PPGH/NEABI-UFPB
48:5,Mestre em História Social
52:4,Doutoranda em História  Social
56:5,Doutora em História Social/
58:7,Acadêmico do curso de Licenciatura Plena em História
59:5,Mestranda e pesquisadora do Programa de História
62:6,Doutoranda
63:5,Doutorando
66:5,Mestrando do Programa de Pós-Graduação em História Social
67:6,DOUTORANDA
79:5,Mestre
80:5,Doutoranda em História
82:6,mestrado
88:5,Doutorado em Educação
94:5,Mestrando
95:6,Mestrand
97:5,Doutoranda
100:5,Doutoranda
101:6,Dr.
104:5,Doutorando em Sociologia
105:5,Doutor em História
111:5,Mestrando do Curso de Pós-Graduação em História
113:5,pós-doutora em História
114:6,Doutora em Educação
130:13,Aluna do curso de doutorado em História
131:5,Doutora em História Social
132:5,doutoranda em História
133:5,"PhD em Sociologia,"
134:5,pós-doutorado
139:5,Mestrando em História
140:5,Doutor em História
143:5,Mestre em história
148:21,Pós-doutoranda em História
149:4,Doutoranda
154:5,Mestranda em História
155:5,Mestranda em História
157:6,Mestre em  História Social
170:5,Mestrado Profissional em Ensino de Ciências da Saúde e do Ambiente
177:5,Doutoranda História Social
ID,Quotation Content
1:5,Doutoranda
3:5,Doutorando em História Social
6:6,Programa de Pós-Graduação em História Regional e Local
7:11,Mestranda em História Comparada
8:5,Doutoranda em Museologia e Patrimônio
11:5,Doutoranda
12:5,Mestrando em História Social
13:6,Mestranda em História
15:6,Doutor em História
16:5,Mestrado
17:5,Licenciada em História
19:5,Doutoranda
20:5,Doutora
22:6,Doutoranda
28:5,Doutoranda no PPGHIS – UFJF
31:5,Pós-Doutoranda em História
37:5,Mestranda em História social
41:5,Doutoranda em História
43:5,Doutorando
44:7,1 DH/PPGH/NEABI-UFPB  2 DH/PROHIS/UFS  3 DH/PPGH/NEABI-UFPB
48:5,Mestre em História Social
52:4,Doutoranda em História  Social
56:5,Doutora em História Social/
58:7,Acadêmico do curso de Licenciatura Plena em História
59:5,Mestranda e pesquisadora do Programa de História
62:6,Doutoranda
63:5,Doutorando
66:5,Mestrando do Programa de Pós-Graduação em História Social
67:6,DOUTORANDA
79:5,Mestre
80:5,Doutoranda em História
82:6,mestrado
88:5,Doutorado em Educação
94:5,Mestrando
95:6,Mestrand
97:5,Doutoranda
