ID,Quotation Content
5:7,aluna do Curso de Especialização  UNIAFRO
9:5,Mestre em História Regional
14:5,Doutoranda em História Social da Faculdade Filosofia  Letras e Ciências Humanas
18:4,Mestre em história cultural
21:7,1 Graduada
21:8,2 Graduada
23:6,Mestrando
24:7,1 Mestranda
24:8,2 Doutora
24:9,3 Doutorando
26:4,Mestre
27:5,Doutoranda em História
32:5,Mestre em História
33:5,Mestranda
34:7,Mestra
35:5,Estudante do curso de Doutorado em História
39:5,Mestranda em História Social
40:5,Doutorando em História
42:5,Mestre em História
45:4,Doutoranda em História
46:5,Doutoranda em História
49:5,Doutora em Educação
54:4,Doutoranda em Historia Social da Cultura
57:5,*Doutorando
60:5,Mestranda  do PROFHISTÓRIA
61:5,Mestre em História Regional e Local
64:4,Doutoranda em História
68:5,Dr
69:5,Mestrando de História
70:5,Mestranda
74:4,Mestranda
75:5,Mestranda
76:5,Doutoranda
77:5,Mestranda
78:5,Mestranda
81:5,Mestranda 
83:5,especialista em História
84:5,Graduada em Históri
85:5,Mestranda
87:5,Doutoranda em História
91:5,Bolsista de pós-doutorado
99:6,Aluna de Doutorado
102:5,Doutoranda em História Social
103:5,Mestre
106:5,Doutora em História
108:7,pós-graduanda em Sociedade do Brasil Contemporâneo
108:9,Doutor em História
108:11,Doutor em História Econômica
109:5,Doutor em História Social
110:6,Doutorando em História Social
112:4,Estudante de graduação em História
115:5,Doutor
116:5,Graduado em História
118:5,Doutor em História
119:5,Mestre em História
120:5,Doutor em História
121:5,Doutoranda
122:4,aluno do Doutorado
123:5,Mestrando em História
124:5,Mestre em História
125:5,doutora em História
126:6,Doutorando em História
127:5,Mestranda em História
129:5,Mestranda em História Social 
135:5,Mestrando em História Social
137:4,Mestre em Memória Social
142:5,Doutora
145:5,Mestranda em História
151:4,Doutorando em História
152:5,Doutoranda
153:4,Mestre em História
156:5,Doutoranda em História
159:5,Doutoranda em História
161:8,mestrado
162:4,Doutor em História
163:5,Doutoranda em História
165:5,Mestranda em História Social
166:5,Mestranda do Programa de Pós-Graduação em História
169:4,Mestranda em História Social
172:4,Doutoranda em História
173:5,Mestranda pelo Programa de Pós-Graduação em História Social
174:4,Pós-Doutorando
179:4,aluno do Doutorado
180:5,Mestranda em Educação
184:6,1  Doutoranda em Educação
184:8,2  Doutora em Educação
ID,Quotation Content
5:7,aluna do Curso de Especialização  UNIAFRO
9:5,Mestre em História Regional
14:5,Doutoranda em História Social da Faculdade Filosofia  Letras e Ciências Humanas
18:4,Mestre em história cultural
21:7,1 Graduada
21:8,2 Graduada
23:6,Mestrando
24:7,1 Mestranda
