ID,Quotation Content
1:6,UFF 
3:6,Universidade de São Paulo
6:5,UNEB
7:6,UFRJ
8:6,UNIRIO
10:5,UFRGS
11:6,UFBA
12:6,FFLCH/USP
13:7,UFPB
15:7,Universidade Federal Fluminense
16:6,Universidade Federal de São Paulo
17:6,Universidade Estadual de Feira de Santana (UEFS)
19:6,UFRRJ
20:6,Unicam
22:7,Universidade Federal Fluminense
25:6,UFF)
31:6,Universidade Federal do Rio de Janeiro
37:6,UFS
41:6,UFRRJ
43:6,UERJ
44:7,1 DH/PPGH/NEABI-UFPB  2 DH/PROHIS/UFS  3 DH/PPGH/NEABI-UFPB
48:6,Universidade Federal do Amazonas
52:5,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO- UNIRIO
56:6,Universidade do Vale do Paraíba
58:8,Universidade do Estado de Mato Grosso – Unemat
59:6,Universidade Federal Fluminense – UFF
62:7,Universidade do Estado do Rio de Janeiro
63:6,Universidade Federal Rural do Rio de Janeiro
66:6,Universidade Federal de São Paulo
67:7,PPGH/UFF
79:6,PUC-Ri
80:6,Universidade Estadual de Campinas (Unicamp)
82:5,UFRGS
86:5,UNIFESP
88:6,Universidade Católica de Santos – UNISANTOS
94:6,UFPB
95:5,Universidade do Vale do Rio dos Sinos
97:6,Universidade Federal da Bahia
100:6,Universidade Federal Fluminense (PPGH-UFF
101:5,Universidade Federal Rural do Rio de Janeiro
104:6,UFSCar
105:6,Universidade Federal de Sergipe (UFS).
107:5,(UFRRJ)
111:6,Universidade Federal de Santa Catarina
113:6,Universidade Estadual Paulista “Júlio de Mesquita Filho”
114:7,UNICAMP  Mestre em História pela UNESP. Atualmente Professora Assistente  do Departamento de Didática da UNESP/Araraquara
130:14,Universidade Federal de Santa Catarina
131:6,Universidade do Estado da Bahia
132:6,Universidade Federal do Rio Grande do Sul
133:6,Universidade Federal do Rio Grande do Sul
134:6,Universidade Federal de Santa Catarina
139:6,Universidade Federal de Sergipe/PROHIS
140:6,CEAD/UDESC
143:6,rede pública de ensino do  Estado de Minas Gerais.
148:22,Universidade Federal Fluminense
149:5,Instituto Federal da Bahia
154:6,UNICAMP
155:6,–UESC
157:7,CEFET MG
160:4,UFF
160:5,A IMPRENSA DO RIO DE JANEIRO E O PÓS-ABOLIÇÃO
170:6,de Minas Gerais (UEMG)
171:5,Universidade Federal Fluminense
177:6,UFRJ
181:4,UNEB - Programa de Pós-Graduação em História Regional e Local – DCH –  Campus V
